datetime,CT,cash,commission,total,returns,equity_curve,drawdown
1985-05-29,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-05-30,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-05-31,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-06-03,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-06-04,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-06-05,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-06-06,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-06-07,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-06-10,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-06-11,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-06-12,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-06-13,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-06-14,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-06-17,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-06-18,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-06-19,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-06-20,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-06-21,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-06-24,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-06-25,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-06-26,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-06-27,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-06-28,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-07-01,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-07-02,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-07-03,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
